FLAG_DEF,FLAG_COLUMN,FLAG_SCHEME
RHO_A_MEAN_FLAG_DEF,RHO_A_MEAN_INFILL_FLAG,cosmos_infill_flag_scheme
RN_FLAG_DEF,RN_CORE_FLAG,core_flag_scheme
RN_FLAG_DEF,RN_CORRS_FLAG,cosmos_correction_flag_scheme
RN_FLAG_DEF,RN_QC_FLAG,cosmos_quality_control_flag_scheme
RN_FLAG_DEF,RN_INFILL_FLAG,cosmos_infill_flag_scheme
SIGMA_SWE_CRNS_FLAG_DEF,SIGMA_SWE_CRNS_CORE_FLAG,core_flag_scheme
SIGMA_SWE_CRNS_FLAG_DEF,SIGMA_SWE_CRNS_CORRS_FLAG,cosmos_correction_flag_scheme
SIGMA_SWE_CRNS_FLAG_DEF,SIGMA_SWE_CRNS_QC_FLAG,cosmos_quality_control_flag_scheme
SIGMA_SWE_CRNS_FLAG_DEF,SIGMA_SWE_CRNS_INFILL_FLAG,cosmos_infill_flag_scheme
SIGMA_SWE_SNOWFOX_FLAG_DEF,SIGMA_SWE_SNOWFOX_CORE_FLAG,core_flag_scheme
SIGMA_SWE_SNOWFOX_FLAG_DEF,SIGMA_SWE_SNOWFOX_CORRS_FLAG,cosmos_correction_flag_scheme
SIGMA_SWE_SNOWFOX_FLAG_DEF,SIGMA_SWE_SNOWFOX_QC_FLAG,cosmos_quality_control_flag_scheme
SIGMA_SWE_SNOWFOX_FLAG_DEF,SIGMA_SWE_SNOWFOX_INFILL_FLAG,cosmos_infill_flag_scheme
SMI_FLAG_DEF,SMI_CORE_FLAG,core_flag_scheme
SMI_FLAG_DEF,SMI_CORRS_FLAG,cosmos_correction_flag_scheme
SMI_FLAG_DEF,SMI_QC_FLAG,cosmos_quality_control_flag_scheme
SMI_FLAG_DEF,SMI_INFILL_FLAG,cosmos_infill_flag_scheme
SNOW_FLAG_DEF,SNOW_CORE_FLAG,core_flag_scheme
SNOW_FLAG_DEF,SNOW_CORRS_FLAG,cosmos_correction_flag_scheme
SNOW_FLAG_DEF,SNOW_QC_FLAG,cosmos_quality_control_flag_scheme
SNOW_FLAG_DEF,SNOW_INFILL_FLAG,cosmos_infill_flag_scheme
SNOWD_DISTANCE_COR_FLAG_DEF,SNOWD_DISTANCE_COR_CORE_FLAG,core_flag_scheme
SNOWD_DISTANCE_COR_FLAG_DEF,SNOWD_DISTANCE_COR_CORRS_FLAG,cosmos_correction_flag_scheme
SNOWD_DISTANCE_COR_FLAG_DEF,SNOWD_DISTANCE_COR_QC_FLAG,cosmos_quality_control_flag_scheme
